episode,avg_reward
1,0.0
2,0.0
3,-8.746223098656877
4,-6.9548179790498965
5,-6.466673965762416
6,-6.2493783862147545
7,-6.479998425835884
8,-6.12481912321617
9,-6.07644060813887
10,-6.573492090230352
11,-6.861477254985509
12,-6.797363416418312
13,-6.763492890358362
14,-6.55118399852247
15,-6.671300089116945
16,-6.209772285890468
17,-5.79936600886181
18,-6.12281775323154
19,-5.659850842709644
20,-6.412301382832075
21,-5.792778636136358
22,-5.787267775669121
23,-5.768905825272176
24,-5.915850333138681
25,-5.993897758567256
26,-5.767384478801603
27,-5.452117561969866
28,-5.678149387190968
29,-6.297742018841406
30,-6.222094786468042
31,-6.090668093920398
32,-6.684868829117174
33,-6.618288659426448
34,-7.18042367062943
35,-6.599610694461992
36,-6.711535963032005
37,-6.355387166314243
38,-7.075143668669304
39,-6.438627086695939
40,-6.318668552630391
41,-7.018083125740796
42,-6.580936017835267
43,-6.693911467384533
44,-6.732271188478369
45,-6.751778071063521
46,-6.675779734516969
47,-6.45550430774165
48,-6.101231565180789
49,-5.880405330442745
50,-5.730010376854432
51,-5.8884022559962625
52,-5.7910740717560305
53,-5.797557273422675
54,-5.761457421414048
55,-5.860164021849411
56,-5.702790553875867
57,-5.518207232616486
58,-6.149955251223101
59,-5.77704413126744
60,-5.503859537010862
61,-5.6833140614593
62,-5.471542093801766
63,-6.028015732418664
64,-5.7573194104676055
65,-5.798680670058975
66,-5.781909851275717
67,-5.653552113490616
68,-5.424416092607259
69,-5.575028014615685
70,-5.217983801495188
71,-5.227657263780521
72,-5.096577656435729
73,-5.098049800269083
74,-4.985978396796296
75,-4.948401448135696
76,-4.953620880689483
77,-5.007962852198471
78,-5.098035215208513
79,-5.089161856518872
80,-5.151753530354688
81,-5.230149483659047
82,-5.007878756561157
83,-5.117750671141543
84,-5.1792406973473035
85,-5.324707570930775
86,-5.385278094275456
87,-5.133813986917311
88,-5.188014671303218
89,-5.47952417609288
90,-5.483631653348293
91,-5.349115948207706
92,-5.555214462665806
93,-5.514195018621983
94,-5.31572083445115
95,-5.471377226686341
96,-5.4940181602778155
97,-5.262248635255152
98,-5.448225428136487
99,-5.3795356212559655
100,-5.861903082705179
101,-5.5468698344915905
102,-5.667519506819634
103,-5.272682305806896
104,-5.349732949093961
105,-5.3753004576030285
106,-5.399404583307554
107,-5.378837142346833
108,-5.078100478722647
109,-5.184849475960418
110,-5.331587859365395
111,-4.918686086785358
112,-4.93382193550721
113,-5.1836482217232485
114,-5.147277697235375
115,-5.4442869798568
116,-4.818877669095096
117,-5.114490358971919
118,-5.1753835148504965
119,-4.6036323023318895
120,-4.682794733221036
121,-5.024514174605624
122,-4.855592243933797
123,-4.881350647614542
124,-4.711205147747508
125,-4.834952409774384
126,-4.88376011579885
127,-5.182630637229915
128,-5.135645072182966
129,-5.3829743070143525
130,-5.205285125665062
131,-5.720640280860172
132,-5.669965795342411
133,-5.766630838955056
134,-5.706667304579821
